id,qname
11330,googleads.g.doubleclick.net.
20761,stackoverflow.com.
20761,stackoverflow.com.
20761,stackoverflow.com.
58447,cdn.sstatic.net.
61440,i.stack.imgur.com.
58447,cdn.sstatic.net.
43690,cdn.sstatic.net.
43690,cdn.sstatic.net.
61440,i.stack.imgur.com.
32625,ipv4.imgur.map.fastly.net.
32625,ipv4.imgur.map.fastly.net.
24950,securepubads.g.doubleclick.net.
13563,clc.stackoverflow.com.
24555,eu.httpbin.org.
24555,eu.httpbin.org.
52445,eu.httpbin.org.
16352,ocsp.sca1b.amazontrust.com.
16352,ocsp.sca1b.amazontrust.com.
16352,ocsp.sca1b.amazontrust.com.
5486,ocsp.sca1b.amazontrust.com.
5486,ocsp.sca1b.amazontrust.com.
22267,ocsp.sca1b.amazontrust.com.
16774,stackoverflow.com.
16774,stackoverflow.com.
12707,stackoverflow.com.
12707,stackoverflow.com.
59225,neverssl.com.
59225,neverssl.com.
59225,neverssl.com.
31364,neverssl.com.
31364,neverssl.com.
15415,neverssl.com.
47662,ocsp.sca1b.amazontrust.com.
35552,majesticastoundingoldeclipse.neverssl.com.
35552,majesticastoundingoldeclipse.neverssl.com.
62986,majesticastoundingoldeclipse.neverssl.com.
62986,majesticastoundingoldeclipse.neverssl.com.
33334,majesticastoundingoldeclipse.neverssl.com.
49983,googleads.g.doubleclick.net.
1239,nlb-tstmcfs-cc542f949e6ac6ec.elb.us-west-2.amazonaws.com.
1239,nlb-tstmcfs-cc542f949e6ac6ec.elb.us-west-2.amazonaws.com.
8499,nlb-tstmcfs-cc542f949e6ac6ec.elb.us-west-2.amazonaws.com.
8499,nlb-tstmcfs-cc542f949e6ac6ec.elb.us-west-2.amazonaws.com.
51445,ocsp.usertrust.com.
51445,ocsp.usertrust.com.
51445,ocsp.usertrust.com.
2309,ocsp.comodoca.com.cdn.cloudflare.net.
2309,ocsp.comodoca.com.cdn.cloudflare.net.
8653,ocsp.comodoca.com.cdn.cloudflare.net.
38157,detectportal.firefox.com.
38157,detectportal.firefox.com.
65192,support.mozilla.org.
65192,support.mozilla.org.
65192,support.mozilla.org.
60408,prod-tp.sumo.mozit.cloud.
60408,prod-tp.sumo.mozit.cloud.
30569,settings-win.data.microsoft.com.
30569,settings-win.data.microsoft.com.
30569,settings-win.data.microsoft.com.
49951,api1.origin.com.
49951,api1.origin.com.
22107,spclient.wg.spotify.com.
22107,spclient.wg.spotify.com.
